what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476957053460
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1476957054467
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957055266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957057512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957066865
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957068823
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1476957068894
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957069319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957069366
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1476957074822
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1476957079403
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1476957087739
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1476957090127
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957090480
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957095363
error,log,,,"The program file specified in the launch configuration does not exist",1476957095419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957095492
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957096438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957098400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957100047
error,log,,,"The program file specified in the launch configuration does not exist",1476957100084
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957100123
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957101409
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957104390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957108291
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1476957136017
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1476957142316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957142710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957144712
started,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1476957144769
error,log,,,"Program file does not exist",1476957144840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957144921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957146001
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1476957150267
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476957159404
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476957162827
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1476957167660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957168019
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957169078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476957189516
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957191725
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957193000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476957202366
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1476957222873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476957223676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476957230581
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957232331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957233887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957243598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476957260946
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476957268854
