what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1476954728420
started,bundle,com.chookapp.org.Bracketeer,1.2.0.201203031719,"com.chookapp.org.Bracketeer",1476954728420
started,bundle,com.chookapp.org.BracketeerCDT,1.2.0.201203031719,"com.chookapp.org.BracketeerCDT",1476954728421
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1476954728422
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1476954728423
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1476954728425
os,sysinfo,,,"macosx",1476954728451
arch,sysinfo,,,"x86_64",1476954728451
ws,sysinfo,,,"cocoa",1476954728451
locale,sysinfo,,,"en_GB",1476954728451
processors,sysinfo,,,"4",1476954728451
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1476954728451
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1476954728451
java.specification.name,sysinfo,,,"Java Platform API Specification",1476954728451
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1476954728451
java.specification.version,sysinfo,,,"1.6",1476954728451
java.vendor,sysinfo,,,"Apple Inc.",1476954728451
java.version,sysinfo,,,"1.6.0_65",1476954728451
java.vm.info,sysinfo,,,"mixed mode",1476954728451
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1476954728451
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1476954728451
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1476954728451
java.vm.specification.version,sysinfo,,,"1.0",1476954728451
java.vm.vendor,sysinfo,,,"Apple Inc.",1476954728451
java.vm.version,sysinfo,,,"20.65-b04-468",1476954728451
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476954745385
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1476954755231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476954755298
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476954761215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476954764727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476954766972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476954820088
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476954823774
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1476954832520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476954832891
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476954833664
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1476954843843
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1476954843883
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1476954843887
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1476954843905
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1476954843924
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1476954844426
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1476954844433
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1476954844434
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1476954844435
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1476954844442
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1476954856574
